City,Gender,Senior_Citizen,Tenure_Months,Phone_Service,Internet_Service,Streaming TV,Streaming Movies,Contract,Payment Method,Monthly Charges,Total_Charges,Churn
Los Angeles,Male,No,2,Yes,DSL,No,No,Month-to-month,Mailed check,53.85,108.15,Yes
Los Angeles,Female,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.7,151.65,Yes
Los Angeles,Female,No,8,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,99.65,820.5,Yes
Los Angeles,Female,No,28,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,104.8,3046.05,Yes
Los Angeles,Male,No,49,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes
Los Angeles,Female,No,10,Yes,DSL,No,No,Month-to-month,Credit card (automatic),55.2,528.35,Yes
Los Angeles,Male,Yes,1,No,DSL,No,Yes,Month-to-month,Electronic check,39.65,39.65,Yes
Los Angeles,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,20.15,20.15,Yes
Los Angeles,Male,No,47,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,99.35,4749.15,Yes
Los Angeles,Male,No,1,No,DSL,No,No,Month-to-month,Electronic check,30.2,30.2,Yes
Los Angeles,Female,No,17,Yes,DSL,Yes,Yes,Month-to-month,Mailed check,64.7,1093.1,Yes
Los Angeles,Male,No,5,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.7,316.9,Yes
Los Angeles,Male,No,34,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,106.35,3549.25,Yes
Los Angeles,Female,No,11,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes
Los Angeles,Female,No,2,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,80.65,144.15,Yes
Los Angeles,Female,No,15,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),99.1,1426.4,Yes
Los Angeles,Female,Yes,8,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),80.65,633.3,Yes
Los Angeles,Male,Yes,18,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.45,1752.55,Yes
Beverly Hills,Female,No,9,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.4,857.25,Yes
Huntington Park,Female,No,1,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,79.35,79.35,Yes
Lynwood,Female,No,7,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes
Marina Del Rey,Female,No,12,Yes,Fiber optic,No,No,Month-to-month,Electronic check,78.95,927.35,Yes
Inglewood,Male,No,5,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,21.05,113.85,Yes
Inglewood,Female,Yes,25,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.5,2514.5,Yes
Santa Monica,Male,No,68,Yes,Fiber optic,Yes,Yes,Two year,Bank transfer (automatic),110,7611.85,Yes
Torrance,Male,No,55,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,96.75,5238.9,Yes
Whittier,Female,Yes,37,Yes,Fiber optic,No,No,Month-to-month,Electronic check,76.5,2868.15,Yes
Whittier,Female,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.25,1064.65,Yes
La Habra,Male,No,3,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.4,229.55,Yes
Pico Rivera,Female,Yes,27,Yes,Fiber optic,No,No,Month-to-month,Electronic check,78.05,2135.5,Yes
Avalon,Female,No,25,No,DSL,Yes,Yes,Month-to-month,Credit card (automatic),58.6,1502.65,Yes
Harbor City,Male,No,1,No,DSL,No,Yes,Month-to-month,Electronic check,35.45,35.45,Yes
Lakewood,Male,No,2,Yes,DSL,No,No,Month-to-month,Electronic check,44.35,81.25,Yes
Los Alamitos,Female,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,70.45,70.45,Yes
San Pedro,Female,No,8,Yes,DSL,No,Yes,Month-to-month,Electronic check,71.15,563.65,Yes
Carson,Male,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,45.65,45.65,Yes
Long Beach,Male,No,7,Yes,Fiber optic,Yes,Yes,Month-to-month,Mailed check,95,655.5,Yes
Altadena,Female,No,20,Yes,Fiber optic,No,No,Month-to-month,Electronic check,82.4,1592.35,Yes
Monrovia,Female,No,4,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),70.9,273,Yes
Sierra Madre,Male,Yes,58,No,DSL,No,Yes,Month-to-month,Electronic check,45.3,2651.2,Yes
Tujunga,Female,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,104.4,242.8,Yes
Pasadena,Female,No,53,Yes,Fiber optic,Yes,Yes,One year,Bank transfer (automatic),94.85,5000.2,Yes
Pasadena,Female,Yes,15,Yes,Fiber optic,No,No,Month-to-month,Mailed check,74.45,1145.7,Yes
Pasadena,Female,Yes,7,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),76.45,503.6,Yes
Glendale,Female,No,1,No,DSL,No,No,Month-to-month,Bank transfer (automatic),29.95,29.95,Yes
Glendale,Male,No,8,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),84.5,662.65,Yes
Glendale,Female,No,13,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.25,1111.65,Yes
Glendale,Female,No,1,No,DSL,No,No,Month-to-month,Electronic check,24.8,24.8,Yes
Canoga Park,Male,No,6,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,91,531,Yes
Mission Hills,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,79.9,79.9,Yes
Santa Clarita,Female,No,19,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,106.6,1934.45,Yes
Sun Valley,Male,No,2,Yes,DSL,No,No,Month-to-month,Credit card (automatic),46,84.5,Yes
Stevenson Ranch,Female,No,4,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.15,268.35,Yes
Panorama City,Male,No,4,Yes,DSL,No,No,Month-to-month,Mailed check,50.05,179.35,Yes
Van Nuys,Female,No,1,Yes,DSL,Yes,No,Month-to-month,Mailed check,55.2,55.2,Yes
Burbank,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Mailed check,84.6,84.6,Yes
North Hollywood,Male,No,2,Yes,DSL,No,No,Month-to-month,Mailed check,54.4,114.1,Yes
North Hollywood,Female,Yes,11,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95,1120.3,Yes
Covina,Male,Yes,15,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.4,1074.3,Yes
Covina,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,48.55,48.55,Yes
El Monte,Female,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.4,147.15,Yes
El Monte,Male,Yes,1,No,DSL,Yes,No,Month-to-month,Electronic check,40.2,40.2,Yes
La Puente,Female,No,2,Yes,DSL,No,No,Month-to-month,Credit card (automatic),44.6,80.55,Yes
La Puente,Male,Yes,3,No,DSL,No,Yes,Month-to-month,Electronic check,41.15,132.2,Yes
Rowland Heights,Male,Yes,13,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,106.9,1364.3,Yes
Ontario,Male,No,59,Yes,No,No internet service,No internet service,Two year,Mailed check,19.35,1099.6,Yes
Ontario,Female,Yes,16,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.45,1511.2,Yes
Pomona,Male,No,1,No,DSL,No,No,Month-to-month,Bank transfer (automatic),24.8,24.8,Yes
Pomona,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,70.6,70.6,Yes
Rosemead,Male,No,5,Yes,Fiber optic,No,No,Month-to-month,Electronic check,85.4,401.1,Yes
San Dimas,Female,No,52,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.05,5624.85,Yes
West Covina,Male,No,18,Yes,Fiber optic,Yes,Yes,Month-to-month,Mailed check,95.15,1779.95,Yes
Alhambra,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70,70,Yes
Alpine,Male,Yes,8,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.5,606.55,Yes
Bonita,Male,No,10,Yes,DSL,No,No,Month-to-month,Credit card (automatic),44.85,435.4,Yes
Boulevard,Male,Yes,24,Yes,Fiber optic,No,No,Month-to-month,Electronic check,76.1,1712.7,Yes
Guatay,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,73.6,73.6,Yes
Jacumba,Female,Yes,4,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.45,396.1,Yes
Mount Laguna,Male,Yes,32,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.9,2303.35,Yes
Borrego Springs,Male,No,5,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,80.6,415.55,Yes
Carlsbad,Female,No,38,Yes,DSL,Yes,Yes,One year,Credit card (automatic),80.3,3058.65,Yes
Del Mar,Male,Yes,24,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,93.15,2231.05,Yes
El Cajon,Female,Yes,54,Yes,DSL,Yes,Yes,One year,Bank transfer (automatic),82.45,4350.1,Yes
Escondido,Female,Yes,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.35,139.05,Yes
Oceanside,Female,No,7,Yes,Fiber optic,No,No,Month-to-month,Electronic check,73.85,511.25,Yes
Pala,Female,No,2,Yes,Fiber optic,No,No,Month-to-month,Mailed check,80.6,155.8,Yes
Palomar Mountain,Male,No,68,Yes,DSL,No,Yes,One year,Bank transfer (automatic),75.8,5293.95,Yes
Pauma Valley,Female,No,43,Yes,Fiber optic,Yes,Yes,Two year,Electronic check,104.6,4759.85,Yes
Ranchita,Male,No,63,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,103.4,6603,Yes
Valley Center,Female,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,90.4,168.2,Yes
San Diego,Male,No,4,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),84.8,371.9,Yes
San Diego,Female,Yes,21,No,DSL,Yes,No,Month-to-month,Electronic check,41.9,840.1,Yes
San Diego,Female,No,10,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),80.25,846,Yes
San Diego,Male,Yes,27,No,DSL,No,No,Month-to-month,Credit card (automatic),30.75,805.1,Yes
San Diego,Male,No,5,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),96.5,492.55,Yes
San Diego,Male,No,2,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,85.65,181.5,Yes
